1 2 3 4 5 6 7 8 9
6 7 9 8 1 2 3 4 5
8 1 2 3 4 5 6 7 9
3 4 5 6 7 9 8 1 2

1 2 3 4 5 6 7 9 8
4 5 6 7 9 8 1 2 3
7 9 8 1 2 3 4 5 6
2 3 4 5 6 7 9 8 1
9 8 1 2 3 4 5 6 7
5 6 7 9 8 1 2 3 4
8 1 2 3 4 5 6 7 9
3 4 5 6 7 9 8 1 2
6 7 9 8 1 2 3 4 5

1 2 3 4 5 6 7 9 8
4 5 6 7 9 8 1 2 3
7 9 8 1 2 3 4 5 6
2 3 4 5 6 7 9 8 1
9 8 1 2 3 4 5 6 7
5 6 7 9 8 1 2 3 4
8 1 2 3 4 5 6 7 9
6 7 9 8 1 2 3 4 5
3 4 5 6 7 9 8 1 2

1 2 3 4 5 6 7 9 8
4 5 6 7 9 8 1 2 3
7 9 8 1 2 3 4 5 6
5 6 7 9 8 1 2 3 4
2 3 4 5 6 7 9 8 1
9 8 1 2 3 4 5 6 7
3 4 5 6 7 9 8 1 2
6 7 9 8 1 2 3 4 5
8 1 2 3 4 5 6 7 9

1 2 3 4 5 6 7 9 8
4 5 6 7 9 8 1 2 3
7 9 8 1 2 3 4 5 6
5 6 7 9 8 1 2 3 4
2 3 4 5 6 7 9 8 1
9 8 1 2 3 4 5 6 7
3 4 5 6 7 9 8 1 2
8 1 2 3 4 5 6 7 9
6 7 9 8 1 2 3 4 5

1 2 3 4 5 6 7 9 8
4 5 6 7 9 8 1 2 3
7 9 8 1 2 3 4 5 6
5 6 7 9 8 1 2 3 4
2 3 4 5 6 7 9 8 1
9 8 1 2 3 4 5 6 7
6 7 9 8 1 2 3 4 5
3 4 5 6 7 9 8 1 2
8 1 2 3 4 5 6 7 9

1 2 3 4 5 6 7 9 8
4 5 6 7 9 8 1 2 3
7 9 8 1 2 3 4 5 6
5 6 7 9 8 1 2 3 4
2 3 4 5 6 7 9 8 1
9 8 1 2 3 4 5 6 7
6 7 9 8 1 2 3 4 5
8 1 2 3 4 5 6 7 9
3 4 5 6 7 9 8 1 2

1 2 3 4 5 6 7 9 8
4 5 6 7 9 8 1 2 3
7 9 8 1 2 3 4 5 6
5 6 7 9 8 1 2 3 4
2 3 4 5 6 7 9 8 1
9 8 1 2 3 4 5 6 7
8 1 2 3 4 5 6 7 9
3 4 5 6 7 9 8 1 2
6 7 9 8 1 2 3 4 5

1 2 3 4 5 6 7 9 8
4 5 6 7 9 8 1 2 3
7 9 8 1 2 3 4 5 6
5 6 7 9 8 1 2 3 4
2 3 4 5 6 7 9 8 1
9 8 1 2 3 4 5 6 7
8 1 2 3 4 5 6 7 9
6 7 9 8 1 2 3 4 5
3 4 5 6 7 9 8 1 2

1 2 3 4 5 6 7 9 8
4 5 6 7 9 8 1 2 3
7 9 8 1 2 3 4 5 6
5 6 7 9 8 1 2 3 4
9 8 1 2 3 4 5 6 7
2 3 4 5 6 7 9 8 1
3 4 5 6 7 9 8 1 2
6 7 9 8 1 2 3 4 5
8 1 2 3 4 5 6 7 9

1 2 3 4 5 6 7 9 8
4 5 6 7 9 8 1 2 3
7 9 8 1 2 3 4 5 6
5 6 7 9 8 1 2 3 4
9 8 1 2 3 4 5 6 7
2 3 4 5 6 7 9 8 1
3 4 5 6 7 9 8 1 2
8 1 2 3 4 5 6 7 9
6 7 9 8 1 2 3 4 5

1 2 3 4 5 6 7 9 8
4 5 6 7 9 8 1 2 3
7 9 8 1 2 3 4 5 6
5 6 7 9 8 1 2 3 4
9 8 1 2 3 4 5 6 7
2 3 4 5 6 7 9 8 1
6 7 9 8 1 2 3 4 5
3 4 5 6 7 9 8 1 2
8 1 2 3 4 5 6 7 9

1 2 3 4 5 6 7 9 8
4 5 6 7 9 8 1 2 3
7 9 8 1 2 3 4 5 6
5 6 7 9 8 1 2 3 4
9 8 1 2 3 4 5 6 7
2 3 4 5 6 7 9 8 1
6 7 9 8 1 2 3 4 5
8 1 2 3 4 5 6 7 9
3 4 5 6 7 9 8 1 2

1 2 3 4 5 6 7 9 8
4 5 6 7 9 8 1 2 3
7 9 8 1 2 3 4 5 6
5 6 7 9 8 1 2 3 4
9 8 1 2 3 4 5 6 7
2 3 4 5 6 7 9 8 1
8 1 2 3 4 5 6 7 9
3 4 5 6 7 9 8 1 2
6 7 9 8 1 2 3 4 5

1 2 3 4 5 6 7 9 8
4 5 6 7 9 8 1 2 3
7 9 8 1 2 3 4 5 6
5 6 7 9 8 1 2 3 4
9 8 1 2 3 4 5 6 7
2 3 4 5 6 7 9 8 1
8 1 2 3 4 5 6 7 9
6 7 9 8 1 2 3 4 5
3 4 5 6 7 9 8 1 2

1 2 3 4 5 6 7 9 8
4 5 6 7 9 8 1 2 3
7 9 8 1 2 3 4 5 6
9 8 1 2 3 4 5 6 7
2 3 4 5 6 7 9 8 1
5 6 7 9 8 1 2 3 4
3 4 5 6 7 9 8 1 2
6 7 9 8 1 2 3 4 5
8 1 2 3 4 5 6 7 9

1 2 3 4 5 6 7 9 8
4 5 6 7 9 8 1 2 3
7 9 8 1 2 3 4 5 6
9 8 1 2 3 4 5 6 7
2 3 4 5 6 7 9 8 1
5 6 7 9 8 1 2 3 4
3 4 5 6 7 9 8 1 2
8 1 2 3 4 5 6 7 9
6 7 9 8 1 2 3 4 5

1 2 3 4 5 6 7 9 8
4 5 6 7 9 8 1 2 3
7 9 8 1 2 3 4 5 6
9 8 1 2 3 4 5 6 7
2 3 4 5 6 7 9 8 1
5 6 7 9 8 1 2 3 4
6 7 9 8 1 2 3 4 5
3 4 5 6 7 9 8 1 2
8 1 2 3 4 5 6 7 9

1 2 3 4 5 6 7 9 8
4 5 6 7 9 8 1 2 3
7 9 8 1 2 3 4 5 6
9 8 1 2 3 4 5 6 7
2 3 4 5 6 7 9 8 1
5 6 7 9 8 1 2 3 4
6 7 9 8 1 2 3 4 5
8 1 2 3 4 5 6 7 9
3 4 5 6 7 9 8 1 2

1 2 3 4 5 6 7 9 8
4 5 6 7 9 8 1 2 3
7 9 8 1 2 3 4 5 6
9 8 1 2 3 4 5 6 7
2 3 4 5 6 7 9 8 1
5 6 7 9 8 1 2 3 4
8 1 2 3 4 5 6 7 9
3 4 5 6 7 9 8 1 2
6 7 9 8 1 2 3 4 5

1 2 3 4 5 6 7 9 8
4 5 6 7 9 8 1 2 3
7 9 8 1 2 3 4 5 6
9 8 1 2 3 4 5 6 7
2 3 4 5 6 7 9 8 1
5 6 7 9 8 1 2 3 4
8 1 2 3 4 5 6 7 9
6 7 9 8 1 2 3 4 5
3 4 5 6 7 9 8 1 2

1 2 3 4 5 6 7 9 8
4 5 6 7 9 8 1 2 3
7 9 8 1 2 3 4 5 6
9 8 1 2 3 4 5 6 7
5 6 7 9 8 1 2 3 4
2 3 4 5 6 7 9 8 1
3 4 5 6 7 9 8 1 2
6 7 9 8 1 2 3 4 5
8 1 2 3 4 5 6 7 9

1 2 3 4 5 6 7 9 8
4 5 6 7 9 8 1 2 3
7 9 8 1 2 3 4 5 6
9 8 1 2 3 4 5 6 7
5 6 7 9 8 1 2 3 4
2 3 4 5 6 7 9 8 1
3 4 5 6 7 9 8 1 2
8 1 2 3 4 5 6 7 9
6 7 9 8 1 2 3 4 5

1 2 3 4 5 6 7 9 8
4 5 6 7 9 8 1 2 3
7 9 8 1 2 3 4 5 6
9 8 1 2 3 4 5 6 7
5 6 7 9 8 1 2 3 4
2 3 4 5 6 7 9 8 1
6 7 9 8 1 2 3 4 5
3 4 5 6 7 9 8 1 2
8 1 2 3 4 5 6 7 9

1 2 3 4 5 6 7 9 8
4 5 6 7 9 8 1 2 3
7 9 8 1 2 3 4 5 6
9 8 1 2 3 4 5 6 7
5 6 7 9 8 1 2 3 4
2 3 4 5 6 7 9 8 1
6 7 9 8 1 2 3 4 5
8 1 2 3 4 5 6 7 9
3 4 5 6 7 9 8 1 2

1 2 3 4 5 6 7 9 8
4 5 6 7 9 8 1 2 3
7 9 8 1 2 3 4 5 6
9 8 1 2 3 4 5 6 7
5 6 7 9 8 1 2 3 4
2 3 4 5 6 7 9 8 1
8 1 2 3 4 5 6 7 9
3 4 5 6 7 9 8 1 2
6 7 9 8 1 2 3 4 5

1 2 3 4 5 6 7 9 8
4 5 6 7 9 8 1 2 3
7 9 8 1 2 3 4 5 6
9 8 1 2 3 4 5 6 7
5 6 7 9 8 1 2 3 4
2 3 4 5 6 7 9 8 1
8 1 2 3 4 5 6 7 9
6 7 9 8 1 2 3 4 5
3 4 5 6 7 9 8 1 2

1 2 3 4 5 6 8 7 9
4 5 6 8 7 9 1 2 3
8 7 9 1 2 3 4 5 6
2 3 4 5 6 8 7 9 1
5 6 8 7 9 1 2 3 4
7 9 1 2 3 4 5 6 8
3 4 5 6 8 7 9 1 2
6 8 7 9 1 2 3 4 5
9 1 2 3 4 5 6 8 7

1 2 3 4 5 6 8 7 9
4 5 6 8 7 9 1 2 3
8 7 9 1 2 3 4 5 6
2 3 4 5 6 8 7 9 1
5 6 8 7 9 1 2 3 4
7 9 1 2 3 4 5 6 8
3 4 5 6 8 7 9 1 2
9 1 2 3 4 5 6 8 7
6 8 7 9 1 2 3 4 5

1 2 3 4 5 6 8 7 9
4 5 6 8 7 9 1 2 3
8 7 9 1 2 3 4 5 6
2 3 4 5 6 8 7 9 1
5 6 8 7 9 1 2 3 4
7 9 1 2 3 4 5 6 8
6 8 7 9 1 2 3 4 5
3 4 5 6 8 7 9 1 2
9 1 2 3 4 5 6 8 7

1 2 3 4 5 6 8 7 9
4 5 6 8 7 9 1 2 3
8 7 9 1 2 3 4 5 6
2 3 4 5 6 8 7 9 1
5 6 8 7 9 1 2 3 4
7 9 1 2 3 4 5 6 8
6 8 7 9 1 2 3 4 5
9 1 2 3 4 5 6 8 7
3 4 5 6 8 7 9 1 2

1 2 3 4 5 6 8 7 9
4 5 6 8 7 9 1 2 3
8 7 9 1 2 3 4 5 6
2 3 4 5 6 8 7 9 1
5 6 8 7 9 1 2 3 4
7 9 1 2 3 4 5 6 8
9 1 2 3 4 5 6 8 7
3 4 5 6 8 7 9 1 2
6 8 7 9 1 2 3 4 5

1 2 3 4 5 6 8 7 9
4 5 6 8 7 9 1 2 3
8 7 9 1 2 3 4 5 6
2 3 4 5 6 8 7 9 1
5 6 8 7 9 1 2 3 4
7 9 1 2 3 4 5 6 8
9 1 2 3 4 5 6 8 7
6 8 7 9 1 2 3 4 5
3 4 5 6 8 7 9 1 2

1 2 3 4 5 6 8 7 9
4 5 6 8 7 9 1 2 3
8 7 9 1 2 3 4 5 6
2 3 4 5 6 8 7 9 1
7 9 1 2 3 4 5 6 8
5 6 8 7 9 1 2 3 4
3 4 5 6 8 7 9 1 2
6 8 7 9 1 2 3 4 5
9 1 2 3 4 5 6 8 7

1 2 3 4 5 6 8 7 9
4 5 6 8 7 9 1 2 3
8 7 9 1 2 3 4 5 6
2 3 4 5 6 8 7 9 1
7 9 1 2 3 4 5 6 8
5 6 8 7 9 1 2 3 4
3 4 5 6 8 7 9 1 2
9 1 2 3 4 5 6 8 7
6 8 7 9 1 2 3 4 5

1 2 3 4 5 6 8 7 9
4 5 6 8 7 9 1 2 3
8 7 9 1 2 3 4 5 6
2 3 4 5 6 8 7 9 1
7 9 1 2 3 4 5 6 8
5 6 8 7 9 1 2 3 4
6 8 7 9 1 2 3 4 5
3 4 5 6 8 7 9 1 2
9 1 2 3 4 5 6 8 7

1 2 3 4 5 6 8 7 9
4 5 6 8 7 9 1 2 3
8 7 9 1 2 3 4 5 6
2 3 4 5 6 8 7 9 1
7 9 1 2 3 4 5 6 8
5 6 8 7 9 1 2 3 4
6 8 7 9 1 2 3 4 5
9 1 2 3 4 5 6 8 7
3 4 5 6 8 7 9 1 2

1 2 3 4 5 6 8 7 9
4 5 6 8 7 9 1 2 3
8 7 9 1 2 3 4 5 6
2 3 4 5 6 8 7 9 1
7 9 1 2 3 4 5 6 8
5 6 8 7 9 1 2 3 4
9 1 2 3 4 5 6 8 7
3 4 5 6 8 7 9 1 2
6 8 7 9 1 2 3 4 5

1 2 3 4 5 6 8 7 9
4 5 6 8 7 9 1 2 3
8 7 9 1 2 3 4 5 6
2 3 4 5 6 8 7 9 1
7 9 1 2 3 4 5 6 8
5 6 8 7 9 1 2 3 4
9 1 2 3 4 5 6 8 7
6 8 7 9 1 2 3 4 5
3 4 5 6 8 7 9 1 2

1 2 3 4 5 6 8 7 9
4 5 6 8 7 9 1 2 3
8 7 9 1 2 3 4 5 6
5 6 8 7 9 1 2 3 4
2 3 4 5 6 8 7 9 1
7 9 1 2 3 4 5 6 8
3 4 5 6 8 7 9 1 2
6 8 7 9 1 2 3 4 5
9 1 2 3 4 5 6 8 7

1 2 3 4 5 6 8 7 9
4 5 6 8 7 9 1 2 3
8 7 9 1 2 3 4 5 6
5 6 8 7 9 1 2 3 4
2 3 4 5 6 8 7 9 1
7 9 1 2 3 4 5 6 8
3 4 5 6 8 7 9 1 2
